číslo,názov
370,Radosťou je moje srdce
376,"Slávna si, Kráľovná"
383,Tisíc ráz pozdravujeme teba
388,"Zaznite piesňou, údolia"
394,"Ó, Mária bolestivá"
399,Kvetinky májové
403,Počúvajte vrúcny hlas
411,"Ó, Mária, Kráľovná ružencová"
415,Spievajme Márii
417,"Hľa, otvára sa brána nebies"
429,"Svätý Peter, svätý Pavol"
462,"Bože, vyslyš prosby naše"
468,Odpočinku večného daj
484a,"Yzopom ma pokrop, Pane"
484b,"Tiekla voda z pravej strany"
493,Otče náš
498,"Ježišu, Kráľu"
501,"Ježiš, Mária i Jozef"
507,"Bože, ktorý stav manželský"
523,V sedmobrežnom kruhu Ríma
524,"Bože, čos’ ráčil"
526,"Teba, Bože, chválime"
